first_fighter,second_fighter,result_1,result_2,date
Pedro-Rizzo,Mark-Coleman,Win,Loss,1999-01-09
Tito-Ortiz,Jerry-Bohlander,Win,Loss,1999-01-09
Evan-Tanner,Darrel-Gholar,Win,Loss,1999-01-09
Mikey-Burnett,Townsend-Saunders,Win,Loss,1999-01-09
Laverne-Clark,Frank-Caracci,Win,Loss,1999-01-09
Gary-Goodridge,Andre-Roberts,Win,Loss,1999-03-06
Kevin-Randleman,Maurice-Smith,Win,Loss,1999-03-06
Pete-Williams,Jason-Godsey,Win,Loss,1999-03-06
Tito-Ortiz,Guy-Mezger,Win,Loss,1999-03-06
Evan-Tanner,Valeri-Ignatov,Win,Loss,1999-03-06
Jeremy-Horn,Chuck-Liddell,Win,Loss,1999-03-06
Sione-Latu,Joey-Roberts,Win,Loss,1999-03-06
Bas-Rutten,Kevin-Randleman,Win,Loss,1999-05-08
Pedro-Rizzo,Tra-Telligman,Win,Loss,1999-05-08
Pete-Williams,Travis-Fulton,Win,Loss,1999-05-08
Wanderlei-Silva,Tony-Peterra,Win,Loss,1999-05-08
Marcello-Mello,David-Roberts,Win,Loss,1999-05-08
Laverne-Clark,Fabiano-Iha,Win,Loss,1999-05-08
Ron-Waterman,Chris-Condo,Win,Loss,1999-05-08
Pat-Miletich,Andre-Pederneiras,Win,Loss,1999-07-17
Maurice-Smith,Marco-Ruas,Win,Loss,1999-07-17
Tsuyoshi-Kosaka,Tim-Lajcik,Win,Loss,1999-07-17
Jeremy-Horn,Daiju-Takase,Win,Loss,1999-07-17
Paul-Jones,Flavio-Moura,Win,Loss,1999-07-17
Eugene-Jackson,Royce-Alger,Win,Loss,1999-07-17
Andre-Roberts,Ron-Waterman,Win,Loss,1999-07-17
Travis-Fulton,David-Dodd,Win,Loss,1999-07-17
Frank-Shamrock,Tito-Ortiz,Win,Loss,1999-09-25
Tim-Lajcik,Ron-Waterman,Draw,Draw,1999-09-25
Jeremy-Horn,Jason-Godsey,Win,Loss,1999-09-25
Chuck-Liddell,Paul-Jones,Win,Loss,1999-09-25
Matt-Hughes,Valeri-Ignatov,Win,Loss,1999-09-25
John-Lewis,Lowell-Anderson,Win,Loss,1999-09-25
Brad-Kohler,Steve-Judson,Win,Loss,1999-09-25
Jens-Pulver,Alfonso-Alcarez,Draw,Draw,1999-09-25
Kevin-Randleman,Pete-Williams,Win,Loss,1999-11-20
Kenichi-Yamamoto,Katsuhisa-Fuji,Win,Loss,1999-11-20
Kenichi-Yamamoto,Daiju-Takase,Win,Loss,1999-11-20
Katsuhisa-Fuji,Matsatsu-Yano,Win,Loss,1999-11-20
Pedro-Rizzo,Tsuyoshi-Kosaka,Win,Loss,1999-11-20
Joe-Slick,Jason-DeLucia,Win,Loss,1999-11-20
Eugene-Jackson,Keichiro-Yamamiya,Win,Loss,1999-11-20
Tedd-Williams,Steve-Judson,Win,Loss,2000-03-11
Lance-Gibson,Jermaine-Andre,Win,Loss,2000-03-11
Dave-Menne,Fabiano-Iha,Win,Loss,2000-03-11
Bob-Cook,Tiki-Ghosn,Win,Loss,2000-03-11
Jens-Pulver,David-Velasquez,Win,Loss,2000-03-11
Scott-Adams,Ian-Freeman,Win,Loss,2000-03-11
Shonie-Carter,Brad-Gumm,Win,Loss,2000-03-11
Tito-Ortiz,Wanderlei-Silva,Win,Loss,2000-04-15
Ron-Waterman,Satoshi-Honma,Win,Loss,2000-04-15
Ikuhisa-Minowa,Joe-Slick,Win,Loss,2000-04-15
Sinae-Kikuta,Eugene-Jackson,Win,Loss,2000-04-15
Murilo-Bustamante,Yoji-Anjo,Win,Loss,2000-04-15
Laverne-Clark,Koji-Oishi,Win,Loss,2000-04-15
Kevin-Randleman,Pedro-Rizzo,Win,Loss,2000-06-10
Pat-Miletich,John-Alessio,Win,Loss,2000-06-10
Tyrone-Roberts,David-Dodd,Win,Loss,2000-06-10
Amaury-Bitteti,Alex-Andrade,Win,Loss,2000-06-10
Matt-Hughes,Marcello-Aguiar,Win,Loss,2000-06-10
Jens-Pulver,Joao-Roque,Win,Loss,2000-06-10
Shonie-Carter,Adrian-Serrano,Win,Loss,2000-06-10
Ian-Freeman,Nate-Schroeder,Win,Loss,2000-06-10
Pedro-Rizzo,Dan-Severn,Win,Loss,2000-09-23
Maurice-Smith,Bobby-Hoffman,Win,Loss,2000-09-23
Ian-Freeman,Tedd-Williams,Win,Loss,2000-09-23
Jeremy-Horn,Eugene-Jackson,Win,Loss,2000-09-23
Yuki-Kondo,Alexandre-Dantas,Win,Loss,2000-09-23
Fabiano-Iha,Laverne-Clark,Win,Loss,2000-09-23
Jeff-Monson,Tim-Lajcik,Win,Loss,2000-09-23
Brad-Gumm,CJ-Fernandes,Draw,Draw,2000-09-23
Randy-Couture,Kevin-Randleman,Win,Loss,2000-11-18
Josh-Barnett,Gan-McGee,Win,Loss,2000-11-18
Renato-Sobral,Maurice-Smith,Win,Loss,2000-11-18
Andrei-Arlovski,Aaron-Brink,Win,Loss,2000-11-18
Jens-Pulver,John-Lewis,Win,Loss,2000-11-18
Mark-Hughes,Alex-Steibling,Win,Loss,2000-11-18
Ben-Earwood,Chris-Lytle,Win,Loss,2000-11-18
Tito-Ortiz,Yuki-Kondo,Win,Loss,2000-12-17
Pat-Miletich,Kenichi-Yamamoto,Win,Loss,2000-12-17
Matt-Lindland,Yoji-Anjo,Win,Loss,2000-12-17
Evan-Tanner,Lance-Gibson,Win,Loss,2000-12-17
Chuck-Liddell,Jeff-Monson,Win,Loss,2000-12-17
Matt-Hughes,Dennis-Hallman,Loss,Win,2000-12-17
Fabiano-Iha,Daiju-Takase,Win,Loss,2000-12-17
Tito-Ortiz,Evan-Tanner,Win,Loss,2001-02-24
Jens-Pulver,Caol-Uno,Win,Loss,2001-02-24
Pedro-Rizzo,Josh-Barnett,Win,Loss,2001-02-24
Bobby-Hoffman,Mark David-Robinson,No Contest,No Contest,2001-02-24
Elvis-Sinosic,Jeremy-Horn,Win,Loss,2001-02-24
Fabiano-Iha,Phil-Johns,Win,Loss,2001-02-24
Sean-Sherk,Tiki-Ghosn,Win,Loss,2001-02-24
Phil-Baroni,Curtis-Stout,Win,Loss,2001-02-24
Randy-Couture,Pedro-Rizzo,Win,Loss,2001-05-05
Carlos-Newton,Pat-Miletich,Loss,Win,2001-05-05
Semmy-Schilt,Pete-Williams,Loss,Win,2001-05-05
Matt-Lindland,Ricardo-Almeida,Win,Loss,2001-05-05
Chuck-Liddell,Kevin-Randleman,Win,Loss,2001-05-05
Shonie-Carter,Matt-Serra,Loss,Win,2001-05-05
BJ-Penn,Joey-Gilbert,Win,Loss,2001-05-05
Tony-DeSouza,Steve-Berger,Loss,Win,2001-05-05
Tito-Ortiz,Elvis-Sinosic,Win,Loss,2001-06-30
BJ-Penn,Din-Thomas,Win,Loss,2001-06-30
Josh-Barnett,Semmy-Schilt,Loss,Win,2001-06-30
Pat-Miletich,Shonie-Carter,Win,Loss,2001-06-30
Caol-Uno,Fabiano-Iha,Win,Loss,2001-06-30
Vladimir-Matyushenko,Yuki-Kondo,Loss,Win,2001-06-30
